HomeTeam;AwayTeam;FTHG;FTAG;FTR;OddsHome;OddsDraw;OddsAway
Albania ; Kazakhstan;3;1;H;1.7;3.32;6.16
Belarus ; Lithuania;2;0;H;1.75;3.4;5.43
Georgia ; Armenia;1;2;A;1.88;3.34;4.58
Slovakia ; Scotland;1;0;H;2.82;3.04;2.76
North Macedonia ; Estonia;2;1;H;1.68;3.57;5.69
Germany ; Ukraine ;3;1;H;1.26;6.37;10.3
Portugal ; France ;0;1;A;2.23;3.29;3.46
Sweden ; Croatia ;2;1;H;2.68;3.29;2.73
Switzerland ; Spain ;1;1;D;3.98;3.5;2
Latvia ; Faroe Islands ;1;1;D;2.23;3.06;3.65
England ; Czech Republic;5;0;H;1.31;5.14;11.71
Bulgaria ; Montenegro;1;1;D;2.19;3.19;3.67
Austria ; Poland;0;1;A;2.44;3.17;3.18
Belgium ; Russia;3;1;H;1.42;4.64;7.87
Croatia ; Azerbaijan;2;1;H;1.11;9.45;28.55
Israel ; Slovenia;1;1;D;2.15;3.28;3.67
Netherlands ; Belarus;4;0;H;1.13;8.47;20.2
North Macedonia ; Latvia;3;1;H;1.39;4.42;9.95
Northern Ireland ; Estonia;2;0;H;1.41;4.29;9.92
Slovakia ; Hungary;2;0;H;1.97;3.27;4.34
Cyprus ; San Marino;5;0;H;1.06;12.97;36.63
Kazakhstan ; Scotland;3;0;H;3.97;3.15;2.12
Austria ; Slovenia;1;0;H;1.72;3.56;5.46
Czech Republic ; Bulgaria;2;1;H;1.59;3.86;6.41
Denmark ; Ireland;1;1;D;1.56;3.73;7.48
Faroe Islands ; Spain;1;4;A;55.08;19.16;1.03
Latvia ; Israel;0;3;A;6.76;4.03;1.55
Lithuania ; Luxembourg;1;1;D;2.88;3.07;2.69
Montenegro ; Kosovo ;1;1;D;2.63;3.1;2.9
North Macedonia ; Poland;0;1;A;4.37;3.31;1.94
Norway ; Romania;2;2;D;1.8;3.55;5
Sweden ; Malta;3;0;H;1.03;19.7;56.12
Ukraine ; Serbia;5;0;H;2.73;3.13;2.79
Georgia ; Gibraltar;3;0;H;1.08;12.18;30.52
Bosnia & Herzegovina ; Greece;2;2;D;1.9;3.3;4.58
Ireland ; Georgia;1;0;H;1.74;3.31;5.89
